rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,tire_press_lf,tire_press_rf,tire_press_rr_orr,tire_press_lr_olr,tire_press_rr_irr,tire_press_lr_ilr
1541192030643975934,,1651,,1541192030,643821791,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192031144002393,,1652,,1541192031,143820316,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192031644051799,,1653,,1541192031,643848229,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192032143984923,,1654,,1541192032,143846494,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192032645039707,,1655,,1541192032,644862417,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192033144801523,,1656,,1541192033,144684936,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192033644722109,,1657,,1541192033,644621052,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192034144846619,,1658,,1541192034,144737172,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192034644761187,,1659,,1541192034,644617743,'',32.0,29.0,33.0,35.0,255.0,255.0
1541192035144899657,,1660,,1541192035,144770785,'',32.0,29.0,33.0,35.0,255.0,255.0
1541191855635361460,,1301,,1541191855,635047222,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191856135113961,,1302,,1541191856,134898762,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191856635084739,,1303,,1541191856,634915761,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191857134968666,,1304,,1541191857,134820819,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191857634458517,,1305,,1541191857,634327063,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191858135162118,,1306,,1541191858,135054458,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191858635233974,,1307,,1541191858,635149968,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191859134870389,,1308,,1541191859,134738118,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191859635159926,,1309,,1541191859,634997029,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191860134785627,,1310,,1541191860,134654834,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191860635423180,,1311,,1541191860,635191740,'',32.0,30.0,33.0,34.0,255.0,255.0
